keys,ja,en,zh_CN,zh_TW,ko,ru
静寂,静寂,Silence,静寂,靜寂,고요,Тишина
CARD_0153,何も起こらない,Nothing happens.,什么也没发生。,什麼也沒發生。,아무 일도 일어나지 않는다.,Ничего не случилось
CARD_0154,何も起きない。安心ではあるが、逆を言えば何の成果も得られていない。,"Nothing happens. While it is a relief, conversely, it means no progress has been made.",什么都没有发生。虽然令人安心，但换句话说，也代表什么成果都没有获得。,什麼都沒有發生。雖然令人安心，但換句話說，也代表什麼成果都沒有獲得。,"아무 일도 일어나지 않는다. 안심되기는 하지만, 반대로 말하면 아무런 성과도 얻지 못한 셈이다.",
CARD_0155,文字通り音がなく、怪異の活動が一時的に収まっている状態を指します。一見すると安全な状況とも言えますが、この間はいくら警戒をしても、多くの場合手掛かりが得られず徒労に終わります。嵐の前の静けさというように、突如として危険な状況に陥る可能性も否定できません。静寂が訪れた際は、休息を取りつつも、常に周囲の状況に注意を払い、次の怪異の発生に備えましょう。,"This refers to a state where there is literally no sound and the activity of Aberrations has temporarily subsided. While it may appear to be a safe situation at first glance, no matter how vigilant you are during this time, in most cases, no clues will be obtained and your efforts will end in vain. Just like the calm before the storm, the possibility of suddenly falling into a dangerous situation cannot be ruled out. When silence falls, take some rest while always paying close attention to your surroundings to prepare for the next occurrence of an Aberration.",顾名思义，这是指完全没有声音、怪异活动暂时平息下来的状态。乍看之下似乎是安全的状况，但在这段期间，无论再怎么警戒，大多时候也得不到任何线索，只是徒劳无功。正如暴风雨前的宁静一般，也不能否定突然陷入危险状况的可能性。当寂静降临时，请一边休息，一边随时留意周遭的状况，为下一次怪异的出现做好准备。,顧名思義，這是指完全沒有聲音、怪異活動暫時平息下來的狀態。乍看之下似乎是安全的狀況，但在這段期間，無論再怎麼警戒，大多時候也得不到任何線索，只是徒勞無功。正如暴風雨前的寧靜一般，也不能否定突然陷入危險狀況的可能性。當寂靜降臨時，請一邊休息，一邊隨時留意周遭的狀況，為下一次怪異的出現做好準備。,"말 그대로 소리가 없고, 괴이 현상이 일시적으로 잦아든 상태를 말합니다. 언뜻 보면 안전한 상황이라고도 할 수 있지만, 이 기간 동안 아무리 경계를 해도 대부분의 경우 단서를 얻지 못해 헛수고로 끝납니다. ‘폭풍 전의 고요’라는 말처럼, 갑자기 위험한 상황에 빠질 가능성도 배제할 수 없습니다. 고요함이 찾아왔을 때는 휴식을 취하면서도 항상 주변 상황에 주의를 기울이고, 다음에 발생할 괴이 현상에 대비합시다.",
同居人？,同居人？,Roommate?,室友？,同居人？,동거인?,Сосед?
CARD_0157,「あけて」,"""Open up.""",“开门” ,「開門」 ,「열어줘」,◦ᵀₖР°й
CARD_0158,その場にいない知り合いのフリをして、ドアを開けさせようとする。知り合いの記憶は全て持っているので、判別にとても気を使う。,"It pretends to be an acquaintance who is not present, attempting to make you open the door. Since it possesses all the memories of that acquaintance, distinguishing it requires extreme caution.",假扮成不在场的熟人，试图让人开门。由于拥有那位熟人的全部记忆，要分辨真伪必须十分小心。,假扮成不在場的熟人，試圖讓人開門。由於擁有那位熟人的全部記憶，要分辨真偽必須十分小心。,"그 자리에 없는 지인을 사칭해, 문을 열게 만들려고 한다. 지인의 기억을 전부 가지고 있기 때문에, 진짜와 구별하는 데 극도의 주의가 필요하다.",
CARD_0159,主にこのマンションに居住する者が遭遇する怪異です。まるで同居人と寸分違わぬ声や記憶でインターホンを鳴らし、ドアを開けさせようとします。同居人と同じ記憶があるため、合言葉程度の対策は役に立ちません。また、この怪異はドアの向こう側の生体反応を感知する能力を持っているらしく、それを利用して本物の同居人の不在を感知し、在宅しているもう一人を狙います。セールスマンや、近所の別の住人を偽って尋ねてくる事はないようです。\n絶対に開けない意思を示した時、怪異であれば正体を現し、いずれ去っていきます。本物の同居人であれば信頼関係にヒビが入ります。\n真贋を見抜くには、その能力を逆に利用します。たとえば、見えるはずのないものが見えているような言動をするように誘導するなど。そのような高度な会話ができない場合は、とにかく会話をすれば、本物と同じ記憶はあるものの、案外抜けているところがあることがわかる時があります。\nそもそも、開けてほしい＝鍵を失くしたという理由になりますので、絶対に鍵を失くさないようにするか、それでも失くしてしまった場合は別の場所で待ち合わせして一緒に帰るようにするのが有効です。\n居住者でない者、すなわち探索者もまれに出会う事がありますが、人型になりきれていない不定の形での遭遇となります。その場合、ひどい叫び声をあげて逃げていきます。,"This is an Aberration encountered primarily by those who reside in this apartment complex. Ringing the intercom, it attempts to get the door opened by mimicking a cohabitant's voice and memories down to the finest detail. Since it possesses the exact same memories as the real cohabitant, measures such as secret passwords are completely useless. Furthermore, this Aberration seemingly has the ability to perceive biological signatures on the other side of the door; leveraging this, it senses when the real cohabitant is away and targets the remaining occupant inside. It appears it never poses as a salesman or a different neighboring resident to visit.\nWhen you exhibit an absolute refusal to open the door, it will reveal its true form if it is the Aberration, and will eventually leave. If it happens to be the real cohabitant, however, it will fracture your relationship of trust.\nTo distinguish the true from the false, you must turn its own ability against it. For instance, guiding the conversation to make it speak as though it can see things that should be impossible to see. If you are unable to engage in such advanced dialogue, simply keeping the conversation going can sometimes reveal that despite having the same memories as the real person, it is unexpectedly careless in certain spots.\nIn the first place, the request to open the door implies that the person has lost their key. Therefore, the most effective countermeasure is to make absolutely sure you never lose your key, or if you still manage to lose it, arrange to meet up at a different location and return home together.\nNon-residents—namely, investigators—may also rarely encounter it, but such encounters will be with an indefinite shape that has failed to fully assume a human form. In those instances, it will let out a horrific shriek and flee.",这是主要会被居住在这栋公寓的人遭遇的怪异。牠会用跟同居人一模一样的声音与记忆按响对讲机，试图让人开门。由于牠拥有与同居人相同的记忆，暗号之类的对策派不上用场。此外，这种怪异似乎具备感知门另一侧生命反应的能力，会利用这一点，察觉真正的同居人不在家，锁定独自在家的另一人下手。牠似乎不会假扮成业务员，或附近其他住户的身分前来拜访。\n当你表明绝对不开门的意愿时，如果是怪异，牠就会露出真面目，最终离去。如果是真正的同居人，则会在信任关系上产生裂痕。\n要看穿真伪，可以反过来利用牠的这项能力。例如，诱导对方做出看见了理应看不见的东西般的言行举止。如果无法进行这种高难度的对话，只要持续交谈，有时就会发现，虽然牠拥有与本人相同的记忆，但意外地会有遗漏的地方。\n说到底，希望别人开门＝代表自己弄丢了钥匙，因此绝对不要弄丢钥匙，或是万一真的弄丢了，约在别的地方碰面、一起回家，才是有效的对策。\n非居住者，也就是探索者，偶尔也会遭遇这种怪异，但那种情况下，牠会以尚未完全变成人形的不定形态出现。届时，牠会发出凄厉的叫声逃走。,這是主要會被居住在這棟公寓的人遭遇的怪異。牠會用跟同居人一模一樣的聲音與記憶按響對講機，試圖讓人開門。由於牠擁有與同居人相同的記憶，暗號之類的對策派不上用場。此外，這種怪異似乎具備感知門另一側生命反應的能力，會利用這一點，察覺真正的同居人不在家，鎖定獨自在家的另一人下手。牠似乎不會假扮成業務員，或附近其他住戶的身分前來拜訪。\n當你表明絕對不開門的意願時，如果是怪異，牠就會露出真面目，最終離去。如果是真正的同居人，則會在信任關係上產生裂痕。\n要看穿真偽，可以反過來利用牠的這項能力。例如，誘導對方做出看見了理應看不見的東西般的言行舉止。如果無法進行這種高難度的對話，只要持續交談，有時就會發現，雖然牠擁有與本人相同的記憶，但意外地會有遺漏的地方。\n說到底，希望別人開門＝代表自己弄丟了鑰匙，因此絕對不要弄丟鑰匙，或是萬一真的弄丟了，約在別的地方碰面、一起回家，才是有效的對策。\n非居住者，也就是探索者，偶爾也會遭遇這種怪異，但那種情況下，牠會以尚未完全變成人形的不定形態出現。屆時，牠會發出淒厲的叫聲逃走。,"주로 이 아파트에 거주하는 사람들이 마주치는 괴이입니다. 마치 동거인과 조금도 다를 바 없는 목소리와 기억을 가지고 인터폰을 누르며 문을 열게 하려고 합니다. 동거인과 같은 기억을 가지고 있기 때문에, 암구호 같은 대책은 소용이 없습니다. 또한, 이 괴이는 문 너머의 생체 반응을 감지하는 능력을 가지고 있는 듯하며, 이를 이용해 진짜 동거인의 부재를 파악하고, 집에 남아 있는 다른 한 사람을 노립니다. 세일즈맨이나 이웃의 다른 주민을 사칭하여 찾아오는 일은 없는 듯합니다.\n절대 열어주지 않겠다는 의사를 보였을 때, 괴이한 존재라면 정체를 드러내고 결국 떠나갑니다. 진짜 동거인이라면 신뢰 관계에 금이 가게 됩니다.\n진위를 판별하려면 그 능력을 역이용해야 합니다. 예를 들어, 볼 수 없는 것을 보고 있는 듯한 발언을 유도하는 식입니다. 그러한 고도의 대화가 어려울 경우, 일단 대화를 나눠보면 진짜와 같은 기억은 가지고 있지만 의외로 허술한 부분이 있다는 것을 알 수 있는 경우가 있습니다.\n애초에 문을 열어달라는 것은 열쇠를 잃어버렸다는 의미가 되므로, 절대 열쇠를 잃어버리지 않도록 해야 합니다. 그래도 잃어버린 경우에는 다른 장소에서 만나 함께 귀가하는 것이 효과적입니다.\n거주자가 아닌 자, 즉 탐색자와도 드물게 마주칠 수 있지만, 그때는 인간 형태를 제대로 갖추지 못한 불완전한 형태로 마주치게 됩니다. 그럴 경우, 끔찍한 비명을 지르며 도망칩니다.",
異質オオカワウソ,異質オオカワウソ,Giant Otter: Anomaly,巨獭：异质,巨獺：異質,이질 왕수달,Гигантская выдра: Аномалия
CARD_0161,オオカワウソを無力化,Neutralize Giant Otter.,使巨獭无力化。,使巨獺無力化。,왕수달을 무력화.,Ликвидирует гигантских выдр
CARD_0162,オオカワウソのみを執拗に狙う怪異。オオカワウソの戦術は全て把握している。,An Aberration that relentlessly targets only Giant Otters. It has completely mastered all of the Giant Otters' tactics.,执拗地只锁定巨獭攻击的怪异。完全掌握了巨獭的战术。,執拗地只鎖定巨獺攻擊的怪異。完全掌握了巨獺的戰術。,오직 왕수달만을 집요하게 노리는 괴이. 왕수달의 전술을 모두 파악하고 있다.,
CARD_0163,怪異と化したオオカワウソです。元々持っていた高い身体能力に加え、異質化の過程で、かつての仲間や道具と融合したことで、その特性を受け継いでいます。また、怪異の身でありながら、階層を移動できるようです。オオカワウソ達が用いる連携戦術や道具の知識を熟知しているため、彼らの戦法はほとんど通用しません。まさに天敵と言えるでしょう。,"This is a Giant Otter that has transformed into an Aberration. In addition to its originally high physical capabilities, it has inherited the characteristics of its former companions and tools by fusing with them during the process of its alteration. Furthermore, despite being an Aberration, it appears capable of moving between floors. Since it is thoroughly familiar with the cooperative tactics and tool knowledge utilized by the Giant Otters, their strategies will hardly work against it. It can truly be called their natural enemy.",牠是化为怪异的巨獭。除了原本就具备的优秀身体能力之外，在异质化的过程中，还与过去的同伴与道具融合，继承了那些特性。此外，尽管身为怪异，牠似乎也能在楼层间移动。由于牠熟知巨獭们所使用的协同战术与道具知识，巨獭们的战法几乎派不上用场。可以说，牠正是名副其实的天敌。,牠是化為怪異的巨獺。除了原本就具備的優秀身體能力之外，在異質化的過程中，還與過去的同伴與道具融合，繼承了那些特性。此外，儘管身為怪異，牠似乎也能在樓層間移動。由於牠熟知巨獺們所使用的協同戰術與道具知識，巨獺們的戰法幾乎派不上用場。可以說，牠正是名副其實的天敵。,"괴이로 변한 왕수달입니다. 본래 지녔던 뛰어난 신체 능력에 더해, 이질화 과정에서 과거의 동료나 도구와 융합함으로써 그 특성을 계승했습니다. 또한 괴이의 몸임에도 불구하고 계층을 이동할 수 있는 듯합니다. 왕수달들이 사용하는 연계 전술이나 도구에 대한 지식을 꿰뚫고 있기에, 그들의 전법은 거의 통하지 않습니다. 그야말로 천적이라 할 수 있습니다.",
触手,触手,Tentacle,触手,觸手,촉수,Щупальце
CARD_0165,水棲生物の触手のうちの1本,An aquatic tentacle.,水生生物的其中一条触手。,水生生物的其中一條觸手。,수생 생물의 촉수 중 하나,Морское щупальце
CARD_0166,謎の水棲生物の触手。敵性行動をとるのは、捕食のためではなく、獲物について調べるためという説がある。,"The tentacle of a mysterious aquatic creature. There is a theory that its hostile behavior is not for predation, but rather to investigate its prey.",神秘水生生物的触手。有一说认为，牠采取敌对行动并非为了捕食，而是为了调查猎物。,神秘水生生物的觸手。有一說認為，牠採取敵對行動並非為了捕食，而是為了調查獵物。,"정체 불명의 수생 생물의 촉수. 적대적인 행동을 보이는 것은 먹이를 잡기 위해서가 아니라, 먹이감을 조사하기 위해서라는 설이 있다.",
CARD_0167,巨大な水棲生物の触手です。その本体は水中に隠され、獲物を捉えるのは巨大なタコのような触手のみです。本体は水の中に沈んだままですが、触手に目があるかのように、周囲の状況を的確に把握し、正確に獲物を狙います。「手探り」では絶対にないと思っていた方が良いです。,"This is the tentacle of a massive aquatic creature. Its main body is hidden beneath the water, and only the giant, octopus-like tentacles are used to capture prey. Although the main body remains submerged, it grasps its surroundings perfectly and targets its prey with pinpoint accuracy, as if the tentacles themselves possess eyes. It is best to assume that this is by no means done ""blindly.""",这是巨大水生生物的触手。其本体隐藏在水中，唯有那如同巨大章鱼般的触手会负责捕捉猎物。虽然本体始终沉在水里，但触手却仿佛自带眼睛一般，能准确掌握周围状况，精准地锁定猎物。最好认定，这绝对不是单纯的「盲目摸索」。,這是巨大水生生物的觸手。其本體隱藏在水中，唯有那如同巨大章魚般的觸手會負責捕捉獵物。雖然本體始終沉在水裡，但觸手卻彷彿自帶眼睛一般，能準確掌握周圍狀況，精準地鎖定獵物。最好認定，這絕對不是單純的「盲目摸索」。,"거대한 수생 생물의 촉수입니다. 본체는 물속에 숨어 있으며, 먹이를 잡는 것은 거대한 문어와 같은 촉수뿐입니다. 본체는 물속에 잠긴 채로 있지만, 마치 촉수에 눈이 있는 것처럼 주변 상황을 정확히 파악하고 먹이를 정밀하게 노립니다.「더듬거리며 찾는 수준」이라고는 절대로 생각하지 않는 편이 좋습니다.",
吸い込み,吸い込み,Vortex,吸取,吸取,흡입,Всасывание
CARD_0169,室内の水ごと吸い込まれる,Sucked in with all the water.,连同室内的水一起被吸入。,連同室內的水一起被吸入。,실내의 물과 함께 빨려 들어감,Затянуло вместе со всей водой.
CARD_0170,人間並の知能がある謎の水棲生物の吸い込み。マンションの外に出ようとしているらしいが、巨体のため叶うことはない。,"The Vortex of a mysterious aquatic creature with human-like intelligence. It apparently desires to leave the apartment complex, but due to its gigantic body, this will never be fulfilled.",拥有与人类相当智能的神秘水生生物所造成的吸入现象。牠似乎想离开公寓到外面去，但由于体型过于巨大，终究无法如愿。,擁有與人類相當智能的神祕水生生物所造成的吸入現象。牠似乎想離開公寓到外面去，但由於體型過於巨大，終究無法如願。,"인간에 필적하는 지능을 가진 정체 불명의 수생 생물의 흡입. 아파트 밖으로 나가려는 듯하지만, 거대한 몸집 탓에 그 뜻을 이룰 수는 없다.",
CARD_0171,水棲生物が生息する階層の水面をゴムボートなどで移動していると、突如として強烈な「吸い込み」が発生することがあります。これは、捕食というよりは、捕獲した生物を調べるという目的で行われるようですが、どちらにしても、犠牲者の運命は変わりません。,"When moving across the water surface of a floor inhabited by aquatic creatures in a rubber boat or similar transport, a violent ""Vortex"" may suddenly occur. This appears to be conducted for the purpose of examining captured creatures rather than predation; however, in either case, the fate of the victim remains the same.",在水生生物栖息的楼层水面上，搭乘橡皮艇等工具移动时，有时会突然发生强烈的「吸入」现象。这与其说是为了捕食，似乎更像是为了调查捕获到的生物而进行的行为，但无论如何，牺牲者的命运都不会因此而改变。,在水生生物棲息的樓層水面上，搭乘橡皮艇等工具移動時，有時會突然發生強烈的「吸入」現象。這與其說是為了捕食，似乎更像是為了調查捕獲到的生物而進行的行為，但無論如何，犧牲者的命運都不會因此而改變。,"수생 생물이 서식하는 층의 수면을 고무보트 등으로 이동하다 보면, 갑자기 강력한 「흡입」현상이 발생하기도 합니다. 이는 포식이라기보다는 포획한 생물을 조사하기 위한 목적으로 이루어지는 듯하지만, 어느 쪽이든 희생자의 운명은 변하지 않습니다.",
8月32日,8月32日,August 32nd,8月32日,8月32日,8月32日,32 августа
CARD_0173,もう一日遊べるのだ！,One more day to play!,还能再玩一天！,還能再玩一天！,하루 더 놀 수 있는 것이다！,Ещё день для игр!
CARD_0174,8月が永遠に続く日めくりカレンダー。仮に使用を続けていると物理的にも何かに侵食されていくが、見かけるだけでも精神を激しく揺さぶられる。,"A daily tear-off calendar where August lasts forever. If one continues to use it, they will eventually be physically eroded by something, but simply catching a glimpse of it is enough to violently shake one's sanity.",8月会永远持续下去的日历。如果持续使用，肉体上也会逐渐被某种东西侵蚀，但光是看到，精神就会受到剧烈冲击。,8月會永遠持續下去的日曆。如果持續使用，肉體上也會逐漸被某種東西侵蝕，但光是看到，精神就會受到劇烈衝擊。,"8월이 영원히 계속되는 일력 달력. 계속 사용하다 보면 물리적으로도 무언가에 침식되어 가지만, 단지 보기만 해도 정신이 심하게 뒤흔들린다.",
CARD_0175,マンション居住者の部屋に突如現れる事がある日めくりカレンダー。もし存在しない日付が表示された場合は、直ちに使用を中止し、速やかに破棄してください。表題にもなっている「8月32日」は容易に判別できますが、4月31日や、うるう年に2月29日ではなく3月1日が現れるなど、判別しにくいケースも存在します。最も安全な対策は、覚えのない日めくりカレンダー自体を使用しないことです。破棄する際は、その辺に安易に捨てると次に目にした人に害を及ぼすため、必ずルールに従って適切にゴミ出しを行ってください。,"A daily tear-off calendar that can suddenly appear in the rooms of apartment residents. If a non-existent date is displayed, stop using it immediately and discard it promptly. While the date ""August 32nd,"" which is also the title, is easily identifiable, there are harder-to-detect cases, such as April 31st appearing, or March 1st appearing instead of February 29th during a leap year. The safest countermeasure is to simply avoid using any tear-off calendar you do not recognize. When discarding it, carelessly throwing it nearby will cause harm to the next person who lays eyes on it, so you must always dispose of it properly in accordance with the rules.",这是一种会突然出现在公寓居住者房间里的日历。如果上面显示出不存在的日期，请立刻停止使用，并尽快丢弃。标题提到的「8月32日」很容易辨别，但也存在像是4月31日，或是闰年时不是2月29日却出现3月1日这类难以判别的情况。最安全的对策，就是不使用来路不明的日历。丢弃时，若随意丢在附近，会对下一个看到的人造成伤害，因此务必遵循规定，妥善地进行垃圾分类丢弃。,這是一種會突然出現在公寓居住者房間裡的日曆。如果上面顯示出不存在的日期，請立刻停止使用，並盡快丟棄。標題提到的「8月32日」很容易辨別，但也存在像是4月31日，或是閏年時不是2月29日卻出現3月1日這類難以判別的情況。最安全的對策，就是不使用來路不明的日曆。丟棄時，若隨意丟在附近，會對下一個看到的人造成傷害，因此務必遵循規定，妥善地進行垃圾分類丟棄。,"아파트 거주자의 방에 갑자기 나타나는 일력 달력. 만약 존재하지 않는 날짜가 표시되었다면, 즉시 사용을 중단하고 신속히 폐기해 주십시오. 제목이기도 한 「8월32일」은 쉽게 알아볼 수 있지만, 4월 31일이나 윤년에 2월 29일 대신 3월 1일이 나타나는 등 판별하기 어려운 경우도 있습니다. 가장 안전한 대처법은, 출처를 알 수 없는 날짜가 적힌 달력 자체를 사용하지 않는 것입니다. 폐기할 때는 아무 데나 함부로 버리면 다음에 보게 되는 사람에게 해를 끼칠 수 있으므로, 반드시 규정에 따라 적절하게 쓰레기를 배출해 주십시오.",
蠢く肉塊,蠢く肉塊,Squirming Mass,蠕动的肉块,蠕動的肉塊,꿈틀거리는 고기 덩어리,Шевелящаяся плоть
CARD_0177,衛生的に問題がありそう,Looks unsanitary.,似乎有卫生问题。,似乎有衛生問題。,위생상 문제가 있을 것 같다,Антисанитарно
CARD_0178,怪異汚染がひどい場所によく観測される肉塊。明らかに触ったり調べたりするメリットはない。,A lump of flesh frequently observed in areas with severe aberration contamination. There is clearly no benefit to touching or examining it.,经常在怪异污染严重的地方被观测到的肉块。显然触碰或调查都没有任何好处。,經常在怪異污染嚴重的地方被觀測到的肉塊。顯然觸碰或調查都沒有任何好處。,괴이 오염이 심한 장소에서 자주 관측되는 고기 덩어리. 만지거나 조사해 볼 만한 이점은 전혀 없다.,
CARD_0179,怪異が空間に深く影響を及ぼすと、「蠢く肉塊」が発生し、その数を増やしていきます。肉塊からは、微量の赤い胞子が常に空気中に散布されるため、その性質はむしろキノコやカビに近いと言えるでしょう。胞子自体にはほとんど害はありませんが、空間を赤く染めます。肉塊自体は熱と湿気を帯びており、不潔なため直接触れることは避けるべきです。放置すると増殖し、空間の侵食を進めます。\n別件で報告された事案では、マンション内居住可能階に住むとあるフレンズが行方不明になりました。知り合いが彼女の部屋に立ち入ったところ、真っ黒に汚れた日めくりカレンダーと、部屋中に蠢く肉塊が繁殖していたとのことです。日めくりカレンダーを処分したところ、肉塊は無くなっていったそうです。,"When an Aberration deeply affects a space, a ""Squirming Mass"" manifests and multiplies. Since the mass constantly scatters a small amount of red spores into the air, its nature can be described as closer to a mushroom or mold. The spores themselves are mostly harmless, but they stain the space red. The mass itself retains heat and moisture, and because it is unsanitary, direct contact should be avoided. If left unchecked, it will multiply and further erode the space.\nIn a separately reported incident, a certain Friend residing on a habitable floor of the apartment complex went missing. When an acquaintance entered her room, they found a daily tear-off calendar blackened with filth, along with squirming masses breeding all over the room. It is reported that once the calendar was disposed of, the masses gradually disappeared.",当怪异对空间造成深远的影响时，就会产生「蠢动的肉块」，并逐渐增加数量。肉块会持续向空气中散布微量的红色孢子，因此其性质与其说像怪异，不如说更接近菇类或霉菌。孢子本身几乎没有危害，但会将空间染成红色。肉块本身带有热度与湿气，相当不洁，应避免直接触碰。放任不管的话，会持续增生，使空间遭受侵蚀的范围扩大。\n在另一起回报的案例中，一位居住在公寓可居住楼层的Friends失踪了。她的熟人进入她的房间后，发现里面有一本被染得漆黑的日历，以及在整个房间里蠢动繁殖的肉块。据说，在处理掉那本日历之后，肉块便逐渐消失了。,當怪異對空間造成深遠的影響時，就會產生「蠢動的肉塊」，並逐漸增加數量。肉塊會持續向空氣中散布微量的紅色孢子，因此其性質與其說像怪異，不如說更接近菇類或黴菌。孢子本身幾乎沒有危害，但會將空間染成紅色。肉塊本身帶有熱度與濕氣，相當不潔，應避免直接觸碰。放任不管的話，會持續增生，使空間遭受侵蝕的範圍擴大。\n在另一起回報的案例中，一位居住在公寓可居住樓層的Friends失蹤了。她的熟人進入她的房間後，發現裡面有一本被染得漆黑的日曆，以及在整個房間裡蠢動繁殖的肉塊。據說，在處理掉那本日曆之後，肉塊便逐漸消失了。,"괴이 현상이 공간에 깊은 영향을 미치면「꿈틀거리는 고기 덩어리」가 발생하여, 그 수가 점점 늘어납니다. 고기 덩어리에서는 미량의 붉은 포자가 끊임없이 공기 중으로 퍼지기 때문에, 그 성질은 오히려 버섯이나 곰팡이에 가깝다고 할 수 있습니다. 포자 자체는 거의 해롭지 않지만, 공간을 붉게 물들입니다. 고기 덩어리 자체는 열기와 습기를 띠고 있으며 불결하므로 직접 만지는 것은 피해야 합니다. 방치하면 증식하여 공간을 침식해 나갑니다.\n별도의 사건으로 보고된 사례에서는, 아파트 거주 가능 층에 사는 한 프렌즈가 실종되었습니다. 지인이 그녀의 방에 들어갔을 때, 새카맣게 더러워진 일력 달력과 방 곳곳에 꿈틀거리는 고기 덩어리가 번식하고 있었다고 합니다. 일력 달력을 처분하자 고기 덩어리는 사라졌다고 합니다.",
おじぞうさま,おじぞうさま,Jizo,地藏菩萨像,地藏菩薩像,지장보살님,Статуя Дзидзо
CARD_0181,何も起こらない,Nothing happens.,什么也没发生。,什麼也沒發生。,아무일도 일어나지 않음.,Ничего не случилось
CARD_0182,何の変哲もない、石で作られたお地蔵様。,A completely ordinary Jizo statue made of stone.,毫无特别之处、由石头制成的地藏菩萨像。,毫無特別之處、由石頭製成的地藏菩薩像。,"별다른 특징이 없는, 돌로 만들어진 지장보살상.",
CARD_0183,広大な薄暗い草原に無数に立ち並ぶお地蔵さま。それらは特になんらかの害を及ぼすことのない、ただの石像です。しかし、この異様な光景は、探索者の意欲を削ぎます。もし、このおびただしい数のお地蔵さまがいなかったならば、この草原の奥には何か価値のあるものが眠っているかもしれないと考え、探索を続けたでしょう。しかし、これほどの数の、意味のない存在が広がっている現状を見ると、これ以上の探索は単なる時間の浪費に思えてなりません。,"Countless Jizo statues stand in rows across a vast, dimly lit grassland. They are mere stone statues that do not pose any particular harm. However, this bizarre sight dampens the investigator's motivation. If not for this overwhelming number of Jizo statues, one might have thought that something valuable was sleeping deep within this grassland and continued the exploration. Yet, seeing such a vast number of meaningless existences spreading out before you, further exploration cannot help but feel like a complete waste of time.",在广阔昏暗的草原上，林立著无数座地藏菩萨像。这些只是单纯的石像，并不会带来特别的危害。然而，这幅异样的光景，却会削弱探索者的探索意愿。如果没有这数量惊人的地藏菩萨像，或许还会让人觉得这片草原的深处可能沉睡著某种有价值的东西，进而继续探索下去。然而，看著如此大量、毫无意义的存在四处蔓延的现状，不禁让人觉得，再继续探索下去，只是单纯的时间浪费罢了。,在廣闊昏暗的草原上，林立著無數座地藏菩薩像。這些只是單純的石像，並不會帶來特別的危害。然而，這幅異樣的光景，卻會削弱探索者的探索意願。如果沒有這數量驚人的地藏菩薩像，或許還會讓人覺得這片草原的深處可能沉睡著某種有價值的東西，進而繼續探索下去。然而，看著如此大量、毫無意義的存在四處蔓延的現狀，不禁讓人覺得，再繼續探索下去，只是單純的時間浪費罷了。,"광활하고 어스름한 초원에 무수히 늘어서 있는 지장보살상들. 그것들은 딱히 해를 끼치지도 않는, 그저 돌상일 뿐입니다. 하지만 이 기이한 광경은 탐색자의 의욕을 꺾어버립니다. 만약 이 엄청난 수의 지장보살상이 없었다면, 이 초원 깊은 곳에 무언가 가치 있는 것이 잠들어 있을지도 모른다고 생각하며 탐사를 계속했을 것입니다. 하지만 이토록 많은, 의미 없는 존재들이 널려 있는 현 상황을 보니, 더 이상의 탐사는 그저 시간 낭비일 뿐이라고 생각될 수밖에 없습니다.",
おこりじぞう,おこりじぞう,Wrathful Jizo,发怒的地藏,發怒的地藏,분노한 지장보살,Гневный Дзидзо
CARD_0185,憤怒の表情,Furious look.,愤怒的表情。,憤怒的表情。,분노한 표정.,Разъярённый взгляд
CARD_0186,なんらかの禁忌を犯したため、怒ったおじぞうさま。とても怖い。,An Ojizousama who became angry because some kind of taboo was violated. Extremely scary.,因为触犯了某种禁忌而发怒的地藏菩萨。非常可怕。,因為觸犯了某種禁忌而發怒的地藏菩薩。非常可怕。,무언가 금기 사항을 어긴 탓에 화가 난 지장보살님. 정말 무섭다.,
