"keys","ja","en","zh_CN","zh_TW","ko","ru"
"「わたしも協力するよー」","「わたしも協力するよー」","[DQUOT]I'll help out too~[DQUOT]","「我也会帮忙的～」","「我也會幫忙的～」","「나도 협력할게ー」",""
"監視されるんだろうなあと思いつつも、特にやましい事はないので、受け入れることにした。","監視されるんだろうなあと思いつつも、特にやましい事はないので、受け入れることにした。","I figured I'd be watched[COMMA] but since I have nothing to hide[COMMA] I decided to just accept it.","虽然心想自己应该会被监视吧，但反正也没做什么亏心事，于是便接受了。","雖然心想自己應該會被監視吧，但反正也沒做什麼虧心事，於是便接受了。","아마 감시당하겠구나 싶었지만, 딱히 켕기는 것도 없어서 받아들이기로 했다.",""
"[color=green]●行動「フェネック」が解禁されました。[/color]","[color=green]●行動「フェネック」が解禁されました。[/color]","[color=green]●Action ""Fennec"" has been unlocked.[/color]","[color=green]●行动“大耳狐”已解锁。[/color]","[color=green]●行動「耳廓狐」已解鎖。[/color]","[color=green]●행동 「페넥」이 해금되었습니다.[/color]","[color=green]●Открыто действие «Фенек».[/color]"
"「くふふ・・・」","「くふふ・・・」","[DQUOT]Kufufu...[DQUOT]","「呵呵呵……」","「呵呵呵……」","「쿠후후・・・」",""
"背後から、笑い声が聞こえた。","背後から、笑い声が聞こえた。","From behind[COMMA] a laugh was heard.","从背后传来了笑声。","從背後傳來了笑聲。","등 뒤에서 웃음소리가 들려왔다.",""
"[color=green]●行動「肉食ちゃん」が解禁されました。[/color]","[color=green]●行動「肉食ちゃん」が解禁されました。[/color]","[color=green]●Action ""Carnivore-chan"" has been unlocked.[/color]","[color=green]●行动“肉食酱”已解锁。[/color]","[color=green]●行動「肉食醬」已解鎖。[/color]","[color=green]●행동 「육식양」이 해금되었습니다。[/color]","[color=green]●Открыто действие «Хищница».[/color]"
"探索の中、自分のミスで、オオカワウソの一人がやられてしまった。[LF]生き残ったオオカワウソに声をかけられた。","探索の中、自分のミスで、オオカワウソの一人がやられてしまった。[LF]生き残ったオオカワウソに声をかけられた。","During the exploration[COMMA] due to my own mistake[COMMA] one of the Giant Otters was taken down.[LF]The surviving Giant Otter called out to me.","探索途中，因为自己的失误，导致一名巨獭队员牺牲了。[LF]幸存下来的巨獭向我搭话。","探索途中，因為自己的失誤，導致一名巨獺隊員犧牲了。[LF]倖存下來的巨獺向我搭話。","탐색 도중, 내 실수로 왕수달 중 한 명이 죽고 말았다.[LF]살아남은 왕수달이 말을 걸어왔다.",""
"「気を落とさないでほしい。わたしたちは、1人でも生き残っていれば問題ない」","「気を落とさないでほしい。わたしたちは、1人でも生き残っていれば問題ない」","[DQUOT]Please don't be discouraged. As long as even one of us survives[COMMA] it's not a problem.[DQUOT]","「希望你别太放在心上。对我们来说，只要还有一个人活下来就没问题。」","「希望你別太放在心上。對我們來說，只要還有一個人活下來就沒問題。」","「너무 낙담하지 마. 우린 한 명이라도 살아남으면 문제없어」",""
"「ただひとつだけ、アイツの成果を持ち帰れなかった事だけが残念だ。これからは後悔の代わりに、犬死だけはさせない事を考えてくれ」","「ただひとつだけ、アイツの成果を持ち帰れなかった事だけが残念だ。これからは後悔の代わりに、犬死だけはさせない事を考えてくれ」","[DQUOT]The only regret is that we couldn't bring back its achievements. From now on[COMMA] instead of regretting[COMMA] just focus on making sure its death wasn't in vain.[DQUOT]","「只有一件事感到遗憾，就是没能把那家伙的成果带回去。从今以后，与其后悔，不如多想想该怎么做才不会让人白白牺牲。」","「只有一件事感到遺憾，就是沒能把那傢伙的成果帶回去。從今以後，與其後悔，不如多想想該怎麼做才不會讓人白白犧牲。」","「다만 하나 아쉬운 건, 그 녀석의 성과를 가져오지 못했다는 거다. 이제부터는 후회 대신, 개죽음만큼은 안 시키겠다는 생각으로 움직여 줘」",""
"[color=green]●行動「オオカワウソ・捨身」が解禁されました。[/color]","[color=green]●行動「オオカワウソ・捨身」が解禁されました。[/color]","[color=green]●Action ""Giant Otter: Sacrifice"" has been unlocked.[/color]","[color=green]●行动“巨獭・舍身”已解锁。[/color]","[color=green]●行動「巨獺・捨身」已解鎖。[/color]","[color=green]●행동 「왕수달・희생」이 해금되었습니다。[/color]",""
"外国人の探索者・・・[LF]ある界隈では、「ガチおじ」と呼ばれているらしい。[LF]複数人いることが確認されている。","外国人の探索者・・・[LF]ある界隈では、「ガチおじ」と呼ばれているらしい。[LF]複数人いることが確認されている。","A foreign explorer...[LF]In certain circles[COMMA] apparently they call people like him [DQUOT]Gachi-Oji[DQUOT] (the Hardcore Old Head).[LF]It has been confirmed that there are several that's just like him.","外国的探索者……[LF]在某些圈子里，似乎被称为「攻略大叔」。[LF]已确认不只一人。","外國的探索者……[LF]在某些圈子裡，似乎被稱為「攻略大叔」。[LF]已確認不只一人。","외국인 탐색자들・・・[LF]어떤 쪽에서는 「진심 아저씨」라고 불리는 모양이다.[LF]복수 존재하는 게 확인되었다.",""
"彼らは、探索そのものに魅入られているようだった。[LF]情報交換程度ならしたことがあり、何人か見知った顔もいる。[LF]見知っているということは、生存能力が高いという事だ。[LF]情報交換と言ったが、実際はこちらが情報をもらっているようなものだった。","彼らは、探索そのものに魅入られているようだった。[LF]情報交換程度ならしたことがあり、何人か見知った顔もいる。[LF]見知っているということは、生存能力が高いという事だ。[LF]情報交換と言ったが、実際はこちらが情報をもらっているようなものだった。","They seemed fascinated by the exploration itself.[LF]I have exchanged information with them occasionally[COMMA] and there are a few familiar faces among them.[LF]Knowing their faces meant one thing: they have high survival capabilities.[LF]I called it an information exchange[COMMA] but in reality[COMMA] it was more like I was the one receiving the data.","他们似乎完全沉迷于探索这件事本身。[LF]彼此曾有过情报交换程度的往来，其中也有几张认识的脸。[LF]而会认识，就代表对方的生存能力很高。[LF]虽说是情报交换，但实际上几乎都是我单方面在获得情报。","他們似乎完全沉迷於探索這件事本身。[LF]彼此曾有過情報交換程度的往來，其中也有幾張認識的臉。[LF]而會認識，就代表對方的生存能力很高。[LF]雖說是情報交換，但實際上幾乎都是我單方面在獲得情報。","그들은 탐색 그 자체에 매료된 듯했다.[LF]정보 교환 정도는 해본 적 있고, 몇 명은 낯익은 얼굴도 있다.[LF]낯익다는 건, 그만큼 생존력이 높다는 뜻이다.[LF]정보 교환이라고는 했지만, 사실상 정보를 받는 쪽은 이쪽이었다.",""
"その彼らから、協力して探索する話を持ちかけられた。[LF]つまり、自分が認められたか、囮として有用かというところだろう。[LF]後者では無いことを願う。","その彼らから、協力して探索する話を持ちかけられた。[LF]つまり、自分が認められたか、囮として有用かというところだろう。[LF]後者では無いことを願う。","They approached me with an offer to explore together.[LF]In other words[COMMA] I've either earned their respect[COMMA] or I'm just useful as bait.[LF]I hope it's not the latter.","他们向我提出了合作探索的邀约。[LF]这应该意味著，自己不是被认可了，就是被当成诱饵很有用吧。[LF]希望不是后者。","他們向我提出了合作探索的邀約。[LF]這應該意味著，自己不是被認可了，就是被當成誘餌很有用吧。[LF]希望不是後者。","그런 그들이 함께 탐색하자는 제안을 해왔다.[LF]즉, 날 인정했거나, 아니면 미끼로 쓸 만하다고 판단했단 거겠지.[LF]후자가 아니길 바랄 뿐이다.",""
"[color=green]●行動「ガチおじ」が解禁されました。[/color]","[color=green]●行動「ガチおじ」が解禁されました。[/color]","[color=green]●Action ""Giga-Oji"" has been unlocked.[/color]","[color=green]●行动“硬核大叔”已解锁。[/color]","[color=green]●行動「攻略大叔」已解鎖。[/color]","[color=green]●행동 「진심 아저씨」가 해금되었습니다.[/color]","[color=green]●Открыто действие «Суровый дядька».[/color]"
"『異質オオカワウソ』","『異質オオカワウソ』","[DQUOT]Giant Otter: Anomaly[DQUOT]","『巨獭：异质』","『巨獺：異質』","『이질 왕수달』","[DQUOT]Гигантская выдра: Аномалия[DQUOT]"
"花の咲いたバールを持ち、エレベーターパネル部分のような機械を背負った、怪異と化した赤い眼のオオカワウソ。","花の咲いたバールを持ち、エレベーターパネル部分のような機械を背負った、怪異と化した赤い眼のオオカワウソ。","A red-eyed Giant Otter turned into an anomaly[COMMA] holding a crowbar in bloom and carrying a machine resembling an elevator control panel on its back.","拿著开花的铁撬，背著类似电梯操作面板的机械，已化为怪异的红眼巨獭。","拿著上面開著花的鐵撬，背著類似電梯操作面板的機械，已化為怪異的紅眼巨獺。","꽃이 핀 빠루를 들고, 엘리베이터 패널 같은 기계를 등에 멘 붉은 눈의 왕수달 괴이.",""
"オオカワウソチームの天敵であり、一緒に行動している自分も敵とみなされている。","オオカワウソチームの天敵であり、一緒に行動している自分も敵とみなされている。","The natural enemy of the Giant Otter team[COMMA] which means you[COMMA] traveling alongside them[COMMA] are also targeted as an enemy.","牠是巨獭小队的天敌，连跟他们一起行动的自己也被视为敌人。","牠是巨獺小隊的天敵，連跟他們一起行動的自己也被視為敵人。","왕수달 팀의 천적이며, 그들과 함께 다니는 나 역시 적으로 간주되고 있다.",""
"オオカワウソチームと対策を話し合ったところ、[LF]「あるにはあるが・・・」と渋い顔をしながら話してくれた。","オオカワウソチームと対策を話し合ったところ、[LF]「あるにはあるが・・・」と渋い顔をしながら話してくれた。","After discussing a strategy with the Giant Otter team[COMMA] they gave a grim look and said[COMMA] [DQUOT]Well[COMMA] there is a way... but...[DQUOT]","跟巨獭小队商讨对策时，[LF]他们一脸为难地说：「办法是有，不过……」","跟巨獺小隊商討對策時，[LF]他們一臉為難地說：「辦法是有，不過……」","왕수달 팀과 대책을 논의해 봤더니,[LF]「방법이 아예 없는 건 아닌데・・・」라며 떨떠름한 표정으로 이야기해줬다.",""
"[color=green]●行動「オオカワウソ軍団」が解禁されました。[/color]","[color=green]●行動「オオカワウソ軍団」が解禁されました。[/color]","[color=green]●Action ""Giant Otter: Corps"" has been unlocked.[/color]","[color=green]●行动“巨獭军团”已解锁。[/color]","[color=green]●行動「巨獺軍團」已解鎖。[/color]","[color=green]●행동 「왕수달 군단」이 해금되었습니다。[/color]","[color=green]●Открыто действие «Армия гигантских выдр».[/color]"
"何度も撤退しているうちに、撤退のコツがつかめてきた。","何度も撤退しているうちに、撤退のコツがつかめてきた。","Through retreating time and time again[COMMA] I've finally started to get the hang of it.","多次撤退之后，渐渐掌握了撤退的诀窍。","多次撤退之後，漸漸掌握了撤退的訣竅。","몇 번이고 철수하다 보니, 철수 요령이 조금씩 몸에 익기 시작했다.",""
"観察力が鍛えられ、ある程度予測ができるようになってきた。","観察力が鍛えられ、ある程度予測ができるようになってきた。","My observation skills have sharpened[COMMA] and I can now predict to some extent.","观察力得到了锻炼，已经能在某种程度上做出预测。","觀察力得到了鍛鍊，已經能在某種程度上做出預測。","관찰력이 단련되면서, 어느 정도는 예측도 가능해지기 시작했다.",""
"エレベーターの中から目視で階の様子を伺うだけでは限界がある。[LF]ふと思いついた事があり、ダメ元で、財団に申請をしてみた。[LF]実績を認められ、許可がおりた。","エレベーターの中から目視で階の様子を伺うだけでは限界がある。[LF]ふと思いついた事があり、ダメ元で、財団に申請をしてみた。[LF]実績を認められ、許可がおりた。","Just peering out from inside the elevator to check the floors has its limits.[LF]An idea suddenly crossed my mind[COMMA] and thinking I had nothing to lose[COMMA] I submitted a request for an item from the Foundation.[LF]My track record was recognized[COMMA] and the permission was granted.","光靠在电梯里用肉眼观察楼层状况终究有其极限。[LF]突然想到一个点子，就抱著姑且一试的心情向基金会提出申请。[LF]结果成果获得认可，申请也通过了。","光靠在電梯裡用肉眼觀察樓層狀況終究有其極限。[LF]突然想到一個點子，就抱著姑且一試的心情向基金會提出申請。[LF]結果成果獲得認可，申請也通過了。","엘리베이터 안에서 층 내부를 육안으로 확인하는 데에도 한계가 있다.[LF]문득 떠오른 게 있어, 안 될 걸 각오하고 재단에 신청서를 넣어봤다.[LF]실적을 인정받아 허가가 내려왔다.",""
"探索がある程度進んだところで、気持ちに余裕が出てきたのか、マーケットでの会話が耳に入ってきた。","探索がある程度進んだところで、気持ちに余裕が出てきたのか、マーケットでの会話が耳に入ってきた。","As our exploration progressed to a certain point[COMMA] perhaps because I finally felt a bit more at ease[COMMA] a conversation from the market happened to catch my ear.","探索进行到一定程度后，或许是心情变得从容了些，市场里的对话也渐渐听进耳里。","探索進行到一定程度後，或許是心情變得從容了些，市場裡的對話也漸漸聽進耳裡。","탐색이 어느 정도 진행되자 마음에 여유가 생긴 건지, 마켓에서 오가는 대화가 귀에 들어오기 시작했다.",""
"値切っていた。しかも成功している。[LF]ここならではのコツがあるみたいだ。","値切っていた。しかも成功している。[LF]ここならではのコツがあるみたいだ。","They were haggling. And what's more[COMMA] they succeeded.[LF]It seems there is a specific knack to doing it around here.","有人在讨价还价，而且还成功了。[LF]看来这里似乎有独特的诀窍。","有人在討價還價，而且還成功了。[LF]看來這裡似乎有獨特的訣竅。","흥정을 하고 있었다. 그것도 성공하고 있다.[LF]여기만의 요령 같은 게 있는 모양이다.",""
"財団からのメールを着信した。[LF]実績が認められ、外泊許可がおりたとの事。[LF]いくつかの条件はあるが、まともに休めるのは嬉しい。","財団からのメールを着信した。[LF]実績が認められ、外泊許可がおりたとの事。[LF]いくつかの条件はあるが、まともに休めるのは嬉しい。","I received an email from the Foundation.[LF]They recognized my achievements and granted me an overnight stay pass.[LF]There are a few conditions[COMMA] but I'm just glad to get some proper rest.","收到了基金会发来的邮件。[LF]内容是成果获得认可，外宿许可已经通过。[LF]虽然附带了几项条件，但能好好休息一下还是很令人开心。","收到了基金會發來的郵件。[LF]內容是成果獲得認可，外宿許可已經通過。[LF]雖然附帶了幾項條件，但能好好休息一下還是很令人開心。","재단에서 메일이 도착했다.[LF]실적이 인정되어 외박 허가가 내려졌다고 한다.[LF]조건이 몇 가지 붙긴 했지만, 제대로 쉴 수 있다는 건 솔직히 반갑다.",""
"何度も値切っているうちに、駆け引きを楽しめるようになってきた。[LF]危険な探索生活の中の娯楽みたいなところがある。[LF]いや、もしかしたらこれは、買い物以外でも使える時があるかもしれない。","何度も値切っているうちに、駆け引きを楽しめるようになってきた。[LF]危険な探索生活の中の娯楽みたいなところがある。[LF]いや、もしかしたらこれは、買い物以外でも使える時があるかもしれない。","As I kept haggling over and over[COMMA] I started to actually enjoy the bargaining.[LF]It’s almost like a form of entertainment in this dangerous life of exploration.[LF]No[COMMA] wait... maybe I can use this skill for things other than just shopping.","多次讨价还价之后，渐渐开始懂得享受这种较量的乐趣。[LF]在这种危险的探索生活中，这似乎也算是一种娱乐。[LF]不，说不定这种技巧，在购物以外的场合也能派上用场。","多次討價還價之後，漸漸開始懂得享受這種較量的樂趣。[LF]在這種危險的探索生活中，這似乎也算是一種娛樂。[LF]不，說不定這種技巧，在購物以外的場合也能派上用場。","몇 번이고 흥정을 반복하다 보니, 어느새 밀고 당기기 자체를 즐기게 되었다.[LF]위험한 탐색 생활 속 몇 안 되는 오락 같은 느낌이다.[LF]아니, 어쩌면 이건 쇼핑 말고 다른 데에도 써먹을 수 있을지도 모른다.",""
"探索のための手段や道具は揃えているが、それらを使いたい時に使えず、逆に不要な時に使わざるを得なかったりと、いきあたりばったりの行動になってしまうのをなんとかしたい。事前にしっかり計画を立てる事が必要だ。","探索のための手段や道具は揃えているが、それらを使いたい時に使えず、逆に不要な時に使わざるを得なかったりと、いきあたりばったりの行動になってしまうのをなんとかしたい。事前にしっかり計画を立てる事が必要だ。","While we have the means and tools for exploration[COMMA] we can't use them when we want to[COMMA] and conversely[COMMA] we're forced to use them when they aren't needed[COMMA] leading to haphazard actions that we need to fix. It is essential to make a solid plan in advance.","虽然准备了探索用的手段与道具，却常常在想用的时候用不上，反而在不需要的时候被迫使用，导致行动变得随兴所至。希望能想办法改善这种状况，看来事前确实做好规划才是必要的。","雖然準備了探索用的手段與道具，卻常常在想用的時候用不上，反而在不需要的時候被迫使用，導致行動變得隨興所至。希望能想辦法改善這種狀況，看來事前確實做好規劃才是必要的。","탐색용 수단과 장비는 갖춰져 있지만, 정작 필요할 때는 못 쓰고, 반대로 필요 없을 때 억지로 쓰게 되는 등, 즉흥적인 행동이 너무 많다. 어떻게든 개선해야 한다.[LF]사전에 제대로 계획을 세우는 게 필요하다.",""
"財団から特例として貸与された端末。[LF]これ自体はただの携帯電話だが、このマンションとは全く別種の収容されたオブジェクトにアクセスするものらしく、登録された番号にかけ、行きたい場所を伝えると瞬間移動できるという。","財団から特例として貸与された端末。[LF]これ自体はただの携帯電話だが、このマンションとは全く別種の収容されたオブジェクトにアクセスするものらしく、登録された番号にかけ、行きたい場所を伝えると瞬間移動できるという。","A terminal temporarily loaned by the Foundation as a special exception.[LF]While the device itself is just an ordinary mobile phone[COMMA] it apparently grants access to a contained object of an entirely different nature than this mansion. By dialing a registered number and stating your destination[COMMA] you can instantly teleport there.","基金会以特例方式借出的终端机。[LF]它本身只是一支普通的手机，但听说可以连接到与这栋公寓完全不同种类的收容物件，只要拨打登记好的号码并说出想去的地方，就能瞬间移动过去。","基金會以特例方式借出的終端機。[LF]它本身只是一支普通的手機，但聽說可以連接到與這棟公寓完全不同種類的收容物件，只要撥打登記好的號碼並說出想去的地方，就能瞬間移動過去。","재단이 특례로 대여해 준 단말기.[LF]겉보기엔 그냥 휴대폰이지만, 이 아파트와는 전혀 다른 종류의 격리 오브젝트에 접속하는 물건이라고 한다. 등록된 번호로 전화를 걸고 목적지를 말하면 순간이동할 수 있다는 모양이다.",""
"ただし、必ずエレベーターに戻る用途のみに使えと。[LF]理由はレポートを参照とのこと。[LF]まあ、守った方が良いのだろうな。","ただし、必ずエレベーターに戻る用途のみに使えと。[LF]理由はレポートを参照とのこと。[LF]まあ、守った方が良いのだろうな。","However[COMMA] it must be used exclusively for returning to the elevator.[LF]For the reason[COMMA] refer to the report.[LF]Well[COMMA] it's probably best to follow that rule.","不过，对方说只能用于返回电梯这个用途。[LF]理由的话请参考Report。[LF]嗯，还是乖乖遵守比较好吧。","不過，對方說只能用於返回電梯這個用途。[LF]理由的話請參考Report。[LF]嗯，還是乖乖遵守比較好吧。","단, 반드시 엘리베이터로 복귀할 때만 사용하라고 한다.[LF]이유는 보고서를 참고하라는 모양이다.[LF]뭐, 얌전히 따르는 편이 좋겠지.",""
"オオカワウソが話しかけてきた。","オオカワウソが話しかけてきた。","The Giant Otter spoke to you.","一只巨獭向我搭话。","一隻巨獺向我搭話。","왕수달이 말을 걸어왔다.",""
"「お前、最近よく見るな。[outline_size=8][outline_color=red]Г-11-18-③階[/outline_color][/outline_size]に来い。色々教えてやる」","「お前、最近よく見るな。[outline_size=8][outline_color=red]Г-11-18-③階[/outline_color][/outline_size]に来い。色々教えてやる」","[DQUOT]You've been showing up around here a lot lately. Come to [outline_size=8][outline_color=red]Floor Г-11-18-③[/outline_color][/outline_size]. I'll teach you a thing or two.[DQUOT]","「你最近常出现呢。来[outline_size=8][outline_color=red]Г-11-18-③楼[/outline_color][/outline_size]吧，我教你一些事。」","「你最近常出現呢。來[outline_size=8][outline_color=red]Г-11-18-③樓[/outline_color][/outline_size]吧，我教你一些事。」","「너, 요즘 자주 보이네。[outline_size=8][outline_color=red]Г-11-18-③층[/outline_color][/outline_size]로 와라. 이것저것 알려주지」",""
"マーケットで物色していると、[LF][outline_size=8][outline_color=red]И-17-6-１階[/outline_color][/outline_size]に行けば食料を安く調達してしまうという噂が聞こえてきた。","マーケットで物色していると、[LF][outline_size=8][outline_color=red]И-17-6-１階[/outline_color][/outline_size]に行けば食料を安く調達してしまうという噂が聞こえてきた。","While browsing the market[COMMA] a rumor caught my ear: [LF]if you go to the [outline_size=8][outline_color=red]И-17-6-1st Floor[/outline_color][/outline_size][COMMA] you end up procuring food for cheap.","在市场里挑选东西时，[LF]听到了一个传闻：只要去[outline_size=8][outline_color=red]И-17-6-１楼[/outline_color][/outline_size]，就能便宜入手食物。","在市場裡挑選東西時，[LF]聽到了一個傳聞：只要去[outline_size=8][outline_color=red]И-17-6-１樓[/outline_color][/outline_size]，就能便宜入手食物。","마켓에서 물건을 둘러보던 중,[LF][outline_size=8][outline_color=red]И-17-6-１층[/outline_color][/outline_size]에 가면 식량을 싸게 조달할 수 있다는 소문이 들려왔다.",""
"「してしまう」という言い方がとても気になる・・・","「してしまう」という言い方がとても気になる・・・","The phrasing [DQUOT]end up procuring[DQUOT] really bugs me...","「就能……入手」这种说法总让我很在意……","「就能……入手」這種說法總讓我很在意……","「조달한다」는 표현이 너무 신경 쓰인다・・・",""
"拠点。待機や、他のメンバーとの交代ができる。[LF]待機・交代には食料1が必要。","拠点。待機や、他のメンバーとの交代ができる。[LF]待機・交代には食料1が必要。","Base. You can wait here or switch between other members.[LF]Waiting or switching requires 1 Food.","据点。可以在这里待机，或与其他成员交替。[LF]待机、交替都需要消耗1份食物。","據點。可以在這裡待機，或與其他成員交替。[LF]待機、交替都需要消耗1份食物。","거점. 대기하거나、다른 멤버와 교대할 수 있다.[LF]대기・교대에는 식량 1이 필요하다.",""
"検討中","検討中","Under Consideration","考虑中","考慮中","검토 중",""
"{ai_txt}","{ai_txt}","{ai_txt}","{ai_txt}","{ai_txt}","{ai_txt}","{ai_txt}"
"[color=green]●移動しています....[/color]","[color=green]●移動しています....[/color]","[color=green]●Moving....[/color]","[color=green]●正在移动……[/color]","[color=green]●正在移動……[/color]","[color=green]●이동 중입니다....[/color]",""
"ドローン撮影する(精神-1、開示5)","ドローン撮影する(精神-1、開示5)","Use a drone for aerial filming (SP-1[COMMA] Reveals5)","用无人机拍摄(精神-1，开示5)","用無人機拍攝(精神-1，開示5)","드론 촬영하기(정신-1, 공개5)",""
"探索する","探索する","Explore","探索","探索","탐색한다",""
"エントランスへ引き返す","エントランスへ引き返す","Head back to the entrance","返回大厅","返回大廳","입구로 되돌아간다",""
"[color=green]●ドローン撮影を行いました。[/color]精神-1","[color=green]●ドローン撮影を行いました。[/color]精神-1","[color=green]●Drone filming was conducted.[/color] SP-1","[color=green]●进行了无人机拍摄。[/color]精神-1","[color=green]●進行了無人機拍攝。[/color]精神-1","[color=green]●드론 촬영을 실시했습니다.[/color]정신-1",""
"撮影された動画を確認した。[LF]白く光るモノリスが浮かんでいる。それ以外には何もない。[LF]ふと、気持ちが異様に軽くなった。違和感を覚え、時計を見ると、[LF]既に2時間ほど経過していた。映像の確認は数分しかしていないはずだ。","撮影された動画を確認した。[LF]白く光るモノリスが浮かんでいる。それ以外には何もない。[LF]ふと、気持ちが異様に軽くなった。違和感を覚え、時計を見ると、[LF]既に2時間ほど経過していた。映像の確認は数分しかしていないはずだ。","I reviewed the recorded video.[LF]A glowing white monolith is floating there. Nothing else.[LF]Suddenly[COMMA] my mind felt strangely light. Sensing something was wrong[COMMA] I checked my watch.[LF]Already[COMMA] about two hours had passed. I should have only been checking the footage for a few minutes.","确认了拍摄下来的影片。[LF]画面中浮著一块发出白光的巨石碑，除此之外什么都没有。[LF]忽然间，心情变得异常轻松。察觉到一丝不对劲，看了一下时间，[LF]才发现已经过了大约两个小时。明明确认影片应该只花了几分钟而已。","確認了拍攝下來的影片。[LF]畫面中浮著一塊發出白光的巨石碑，除此之外什麼都沒有。[LF]忽然間，心情變得異常輕鬆。察覺到一絲不對勁，看了一下時間，[LF]才發現已經過了大約兩個小時。明明確認影片應該只花了幾分鐘而已。","촬영된 영상을 확인했다.[LF]하얗게 빛나는 모노리스가 떠 있다. 그 외에는 아무것도 없다.[LF]문득 기분이 이상할 정도로 가벼워졌다. 위화감을 느끼고 시계를 보니,[LF]벌써 2시간 정도가 지나 있었다. 영상을 확인한 건 몇 분 정도였을 텐데.",""
"何が起きたのかはよくわからないが、[LF]この動画を探索中に見るのは危険そうだ。[LF]だが、「見せる」のは・・・？","何が起きたのかはよくわからないが、[LF]この動画を探索中に見るのは危険そうだ。[LF]だが、「見せる」のは・・・？","I don't really know what just happened[COMMA] [LF]but watching this video during exploration seems dangerous. [LF]But... what if I [DQUOT]show[DQUOT] it to someone else?","虽然不太清楚发生了什么事，[LF]但在探索途中观看这段影片似乎很危险。[LF]不过，「让别人看」的话……？","雖然不太清楚發生了什麼事，[LF]但在探索途中觀看這段影片似乎很危險。[LF]不過，「讓別人看」的話……？","무슨 일이 일어난 건지는 잘 모르겠지만,[LF]이 영상을 탐색 도중에 보는 건 위험해 보인다.[LF]하지만 「보여주는」 건・・・？",""
"[color=green]●行動「動画：どんな願いも叶う階」が解禁されました。[/color]","[color=green]●行動「動画：どんな願いも叶う階」が解禁されました。[/color]","[color=green]●Action ""Video: Wish-Granting Floor"" has been unlocked.[/color]","[color=green]●行动“视频：愿望成真之层”已解锁。[/color]","[color=green]●行動「影片：願望成真之層」已解鎖。[/color]","[color=green]●행동 「영상：어떤 소원이든 이루어지는 층」이 해금되었습니다.[/color]","[color=green]●Открыто действие «Видео: Этаж исполнения желаний».[/color]"
"[color=green]●ドローン撮影を行いましたが、特に何も収穫はありませんでした。[/color]精神-1","[color=green]●ドローン撮影を行いましたが、特に何も収穫はありませんでした。[/color]精神-1","[color=green]●Drone footage was taken, but yielded no results.[/color] SP-1","[color=green]●进行了无人机拍摄，但并没有任何收获。[/color]精神-1","[color=green]●進行了無人機拍攝，但並沒有任何收穫。[/color]精神-1","[color=green]●드론 촬영을 실시했지만, 특별한 수확은 없었습니다.[/color]정신-1","[color=green]●Съемка с дрона была проведена, но результатов не принесла.[/color] Рассудок -1"
"■248日前","■248日前","■248 days ago","■248天前","■248天前","■248일 전",""
"俺は取り返しのつかない過ちを犯した。","俺は取り返しのつかない過ちを犯した。","I made an irreversible mistake.","我犯下了无法挽回的过错。","我犯下了無法挽回的過錯。","나는 돌이킬 수 없는 잘못을 저질렀다.",""
"いつ「声」がかかるか・・・それを考えては忘れ、","いつ「声」がかかるか・・・それを考えては忘れ、","Thinking about when they will call my name... then forgetting it[COMMA]","不知道「传唤」何时会降临……一边想著，一边又忘了，","不知道「傳喚」何時會降臨……一邊想著，一邊又忘了，","언제 「그 목소리」가 들려올지・・・ 그 생각을 했다가 잊고,",""
"そしてまた考え・・・","そしてまた考え・・・","and then thinking about it again...","然后又再次想起……","然後又再次想起……","그리고 다시 생각하고・・・",""
"■31日前","■31日前","■31 days ago","■31天前","■31天前","■31일 전",""
"鉄格子の向こう側に響く足音が、いつにも増して重々しく聞こえた。[LF]呼び出しの声がかかり、看守たちの視線が突き刺さる。[LF]分かっている。この瞬間がいつか来ることは理解していた。だが、いざとなると心はざわつく。","鉄格子の向こう側に響く足音が、いつにも増して重々しく聞こえた。[LF]呼び出しの声がかかり、看守たちの視線が突き刺さる。[LF]分かっている。この瞬間がいつか来ることは理解していた。だが、いざとなると心はざわつく。","The footsteps echoing on the other side of the iron bars sounded heavier than usual.[LF]My name was called[COMMA] and the guards' piercing glares locked onto me.[LF]I knew. I understood that this moment would come someday. But now that it was here[COMMA] my heart began to race.","铁格子另一侧传来的脚步声，听起来比平常更加沉重。[LF]传唤的声音响起，狱警们的视线如针般刺来。[LF]我知道的。我早就明白这一刻终会到来。但事到临头，内心仍不免动摇。","鐵格子另一側傳來的腳步聲，聽起來比平常更加沉重。[LF]傳喚的聲音響起，獄警們的視線如針般刺來。[LF]我知道的。我早就明白這一刻終會到來。但事到臨頭，內心仍不免動搖。","철창 너머에서 들려오는 발소리가 평소보다 훨씬 무겁게 느껴졌다.[LF]호출 소리가 들리고, 간수들의 시선이 날카롭게 꽂힌다.[LF]알고 있다. 알고 있었다. 언젠가 이 순간이 올 거라는 건 이해하고 있었다. 하지만 막상 닥치니 마음이 술렁거린다.",""
